tag,itens,categoria,modelo,serial,marca,valor,data_compra,fornecedor,po,nota_fiscal,uso,qtd,prateleira,rua,setor,local,box,conferido
IMP2508210115090,p2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115091,p2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115092,p2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115093,p2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115094,p2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115095,p2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115096,p2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115097,p2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115098,up2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
IMP2508210115099,up2719h,tv e monitor,,AUTO0217,,0.0,2025-08-21 01:15:44.741695,,PO-IMP-20250821,NF-IMP2508210115,Geral,1,A Definir,A Definir,Geral,HQ1 - 8º Andar,,False
